2023-03-22 14:53:17,377 [restartedMain] INFO  [org.apache.coyote.http11.Http11NioProtocol] DirectJDKLog.java:173 - Starting ProtocolHandler ["http-nio-8098"]
2023-03-22 14:53:17,390 [restartedMain] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:220 - Tomcat started on port(s): 8098 (http) with context path ''
2023-03-22 14:53:17,403 [restartedMain] INFO  [c.s.x.s.SpringBootAdminClientApplication] StartupInfoLogger.java:61 - Started SpringBootAdminClientApplication in 1.845 seconds (JVM running for 2.57)
2023-03-22 14:53:17,482 [registrationTask1] INFO  [d.c.b.a.client.registration.ApplicationRegistrator] DefaultApplicationRegistrator.java:82 - Application registered itself as ed6d38626fba
2023-03-22 14:53:17,499 [http-nio-8098-exec-2] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-22 14:53:17,500 [http-nio-8098-exec-2] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:525 - Initializing Servlet 'dispatcherServlet'
2023-03-22 14:53:17,501 [http-nio-8098-exec-2] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:547 - Completed initialization in 1 ms
2023-03-22 15:56:45,351 [restartedMain] INFO  [c.s.x.s.SpringBootAdminClientApplication] StartupInfoLogger.java:55 - Starting SpringBootAdminClientApplication using Java 11.0.12 on shenlx-pc with PID 18456 (D:\workspace-github-project\my-spring-all-service\spring-boot-admin\spring-boot-admin-client\target\classes started by lenovo in D:\workspace-github-project\my-spring-all-service)
2023-03-22 15:56:45,351 [restartedMain] INFO  [c.s.x.s.SpringBootAdminClientApplication] SpringApplication.java:634 - No active profile set, falling back to 1 default profile: "default"
2023-03-22 15:56:45,399 [restartedMain] INFO  [o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor] DeferredLog.java:255 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-03-22 15:56:45,399 [restartedMain] INFO  [o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor] DeferredLog.java:255 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-03-22 15:56:46,095 [restartedMain] ERROR [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - An incompatible version [1.2.12] of the Apache Tomcat Native library is installed, while Tomcat requires version [1.2.14]
2023-03-22 15:56:46,265 [restartedMain] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:108 - Tomcat initialized with port(s): 8098 (http)
2023-03-22 15:56:46,267 [restartedMain] INFO  [org.apache.coyote.http11.Http11NioProtocol] DirectJDKLog.java:173 - Initializing ProtocolHandler ["http-nio-8098"]
2023-03-22 15:56:46,267 [restartedMain] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
2023-03-22 15:56:46,267 [restartedMain] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-03-22 15:56:46,299 [restartedMain] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring embedded WebApplicationContext
